CES UnitId,NPCC Full Name,Type,Zone,Installation Date,Retirement Date,Summer Capacity (MW),Winter Capacity (MW),ISO_Q_ID
65699,JC_BAT_RN Small Battery,FBAT,SOUTH,2020-10-01,12/31/2100,2.3,2.3,
65906,Noble Storage,PS,NORTH,2022-08-01,12/31/2100,127.0,127.0,22INR0436
65907,Fence Post BESS,PS,NORTH,2025-11-01,12/31/2100,73.0,73.0,22INR0405
65908,House Mountain 2 BESS,PS,WEST,2023-02-01,12/31/2100,52.42,52.42,22INR0485
65909,BRP Cachi BESS,PS,SOUTH,2024-11-01,12/31/2100,202.0,202.0,22INR0388
65910,BRP Antlia BESS,PS,WEST,2023-05-01,12/31/2100,71.0,71.0,22INR0349
65911,BRP Carina BESS,PS,COASTAL,2023-06-01,12/31/2100,151.85,151.85,22INR0353
65912,Big Star Storage,PS,SOUTH,2022-03-31,12/31/2100,80.0,80.0,21INR0469
65913,Estonian Energy Storage,PS,NORTH,2025-10-01,12/31/2100,102.5,102.5,22INR0336
65914,BRP Paleo BESS,PS,PANHANDLE,2022-09-30,12/31/2100,202.4,202.4,22INR0322
65915,Ryan Energy Storage,PS,NORTH,2023-01-09,12/31/2100,50.0,50.0,20INR0246
65916,BRP Pavo BESS,PS,WEST,2021-06-30,12/31/2100,176.0,176.0,22INR0384
65917,BRP Tortolas BESS,PS,COASTAL,2022-07-11,12/31/2100,50.0,50.0,23INR0072
65918,Vortex BESS,PS,WEST,2022-05-01,12/31/2100,122.0,122.0,21INR0473
65919,Anchor BESS,PS,NORTH,2021-12-31,12/31/2100,71.0,71.0,21INR0474
65920,BRP Hydra BESS,PS,WEST,2022-10-30,12/31/2100,202.0,202.0,22INR0372
65937,Wolf Tank Storage,PS,SOUTH,2025-12-01,12/31/2100,155.0,155.0,22INR0551
65938,Timberwolf BESS 2,PS,WEST,2024-06-01,12/31/2100,150.0,150.0,22INR0495
65939,Guajillo Energy Storage,PS,SOUTH,2024-11-01,12/31/2100,201.0,201.0,23INR0343
65966,Blue Jay BESS,PS,NORTH,2023-02-01,12/31/2100,51.6,51.6,23INR0019
65967,Pyron BESS II,PS,WEST,2023-03-16,12/31/2100,30.2,30.2,20INR0268
65968,Mustang Creek Storage,PS,SOUTH,2023-08-15,12/31/2100,71.78,71.78,21INR0484
65969,Stampede BESS,PS,NORTH,2024-06-01,12/31/2100,73.11,73.11,22INR0410
65970,BRP Libra BESS,PS,SOUTH,2024-02-01,12/31/2100,202.38,202.38,22INR0366
65971,Anemoi Energy Storage,PS,SOUTH,2024-06-01,12/31/2100,205.0,205.0,23INR0369
65972,Bright Arrow Storage,PS,NORTH,2024-02-01,12/31/2100,103.5,103.5,22INR0302
65973,Inertia BESS,PS,WEST,2024-07-01,12/31/2100,121.4,121.4,22INR0328
65974,Inertia BESS 2,PS,WEST,2025-04-01,12/31/2100,100.7,100.7,22INR0375
65975,Chillingham Storage,PS,NORTH,2026-10-01,12/31/2100,153.7,153.7,23INR0079
65976,Padua Grid BESS,PS,SOUTH,2024-12-01,12/31/2100,51.0,51.0,22INR0368
65977,Giga Texas Energy Storage,PS,SOUTH,2024-02-01,12/31/2100,131.0,131.0,23INR0239
65978,Turquoise Storage,PS,NORTH,2023-03-07,12/31/2100,196.2,196.2,22INR0509
65979,Saragosa BESS,FBAT,WEST,2022-07-15,12/31/2100,10.0,10.0,22INR0565
65980,Saddleback BESS,FBAT,WEST,2022-08-15,12/31/2100,10.0,10.0,22INR0570
65981,Faulkner BESS,FBAT,WEST,2022-08-15,12/31/2100,10.0,10.0,22INR0571
65982,La Huerta BESS,FBAT,SOUTH,2022-09-30,12/31/2100,10.0,10.0,22INR0572
65983,Burro BESS,FBAT,SOUTH,2022-09-15,12/31/2100,10.0,10.0,22INR0573
65984,Coyote Springs BESS,FBAT,WEST,2022-09-30,12/31/2100,10.0,10.0,22INR0574
65985,Lonestar BESS,FBAT,WEST,2022-09-15,12/31/2100,10.0,10.0,22INR0575
65986,Rattlesnake BESS,FBAT,WEST,2022-09-30,12/31/2100,10.0,10.0,22INR0576
65987,Cedarville BESS,FBAT,WEST,2022-09-30,12/31/2100,10.0,10.0,22INR0577
65988,Screwbean BESS,FBAT,WEST,2022-09-15,12/31/2100,10.0,10.0,22INR0587
65989,Cameron Storage,PS,COASTAL,2023-10-13,12/31/2100,18.0,18.0,22INR0398
65990,Amsterdam Storage,PS,COASTAL,2027-10-01,12/31/2100,201.0,201.0,22INR0417
65991,Rocinante BESS,PS,SOUTH,2027-12-31,12/31/2100,33.0,33.0,23INR0232
66017,Ebony Energy Storage,PS,SOUTH,2024-04-01,1/1/2100,205.0,205.0,23INR0154
66018,Tanzanite Storage,PS,NORTH,2024-12-01,1/1/2100,258.0,258.0,22INR0549
66019,Sowers Storage,PS,NORTH,2024-12-01,1/1/2100,203.0,203.0,22INR0552
66020,Great Kiskadee Storage,PS,SOUTH,2024-08-01,1/1/2100,103.0,103.0,23INR0166
66021,Rodeo Ranch Energy Storage,PS,WEST,2023-12-01,1/1/2100,290.0,290.0,23INR0371
66022,Callisto I Energy Center,PS,HOUSTON,2024-06-01,1/1/2100,203.0,203.0,22INR0490
66023,Donegal BESS,PS,PANHANDLE,2026-06-01,1/1/2100,101.0,101.0,23INR0103
66024,Larkspur Energy Storage,PS,WEST,2027-01-01,1/1/2100,307.5,307.5,23INR0340
